time, block_id, block_x, block_y, block_width, block_height
2021-07-21 13:45:55.925133, 1, 181,  87,  38,   6
2021-07-21 13:45:55.938261, 1, 190,  96,  56,  14
2021-07-21 13:45:55.951048, 1, 194,  99,  52,  14
2021-07-21 13:45:55.979400, 1, 179, 102,  26,   4
2021-07-21 13:45:55.995842, 1, 179, 102,  26,   4
2021-07-21 13:45:56.016364, 1, 179, 102,  26,   4
2021-07-21 13:45:57.439093, 1, 174, 150,  40,  15
2021-07-21 13:45:57.457464, 1, 172, 151,  28,  12
2021-07-21 13:45:57.471671, 1, 184, 172,  36,   4
2021-07-21 13:45:57.485766, 1, 184, 168,  52,   7
2021-07-21 13:45:57.528819, 1, 190, 161,  56,  13
2021-07-21 13:45:57.545708, 1, 183, 148,  66,  34
2021-07-21 13:45:57.557090, 1, 179, 157,  62,  13
2021-07-21 13:45:57.557090, 1, 129, 128,   6,   9
2021-07-21 13:45:57.577061, 1, 186, 155,  64,  14
2021-07-21 13:45:57.577061, 1, 171, 126,  42,  18
2021-07-21 13:45:57.588279, 1, 180, 142,  84,  33
2021-07-21 13:45:57.588279, 1, 171, 126,  42,  18
2021-07-21 13:45:57.614597, 1, 181, 139,  90,  40
2021-07-21 13:45:57.614597, 1, 171, 126,  42,  18
2021-07-21 13:45:57.628374, 1, 180, 136,  84,  35
2021-07-21 13:45:57.628374, 1, 127, 110,   6,   9
2021-07-21 13:45:57.638350, 1, 185, 130,  86,  45
2021-07-21 13:45:57.638350, 1, 129, 114,  10,  19
2021-07-21 13:45:57.676034, 1, 172, 128,  96,  48
2021-07-21 13:45:57.676034, 1, 124,  86,   4,   9
2021-07-21 13:45:57.682809, 1, 182, 127,  88,  37
2021-07-21 13:45:57.682809, 1, 124,  86,   4,   9
2021-07-21 13:45:57.706400, 1, 184, 104,  84,  80
2021-07-21 13:45:57.716881, 1, 183, 110,  78,  65
2021-07-21 13:45:57.766365, 1, 187, 105,  74,  69
2021-07-21 13:45:57.770221, 1, 182,  98,  60,  37
2021-07-21 13:45:57.786896, 1, 185, 105,  70,  59
2021-07-21 13:45:57.799295, 1, 184,  95,  68,  42
2021-07-21 13:45:57.815967, 1, 186,  91,  68,  39
2021-07-21 13:45:57.846376, 1, 180,  96,  48,  36
2021-07-21 13:45:57.861436, 1, 195, 102,  50,  16
2021-07-21 13:45:57.886379, 1, 188,  94,  52,  27
2021-07-21 13:45:57.891953, 1, 188,  94,  52,  27
2021-07-21 13:45:57.908174, 1, 190,  96,  44,  23
2021-07-21 13:45:57.927123, 1, 195, 102,  38,   9
2021-07-21 13:45:57.940505, 1, 202,  98,  32,  11
2021-07-21 13:45:57.966875, 1, 200, 100,  24,   6
2021-07-21 13:45:57.973079, 1, 200, 100,  24,   6
2021-07-21 13:45:58.005914, 1, 200, 100,  24,   6
2021-07-21 13:45:58.009633, 1, 196,  97,  32,   6
2021-07-21 13:45:58.035314, 1, 196,  97,  32,   6
2021-07-21 13:45:58.067114, 1, 194,  94,  32,   5
2021-07-21 13:45:58.076399, 1, 194,  94,  32,   5
2021-07-21 13:45:58.089250, 1, 195,  90,  22,   3
2021-07-21 13:45:58.107057, 1, 198,  87,  28,   5
2021-07-21 13:45:58.119196, 1, 195,  87,  26,   4
2021-07-21 13:45:58.166457, 1, 193,  85,  34,   4
2021-07-21 13:45:58.170301, 1, 193,  85,  34,   4
2021-07-21 13:46:01.190470, 1, 171,  93,  34,  24
2021-07-21 13:46:01.207103, 1, 168,  93,  40,  25
2021-07-21 13:46:01.225077, 1, 170,  94,  44,  26
2021-07-21 13:46:01.237232, 1, 163,  93,  30,  21
2021-07-21 13:46:01.259667, 1, 163,  93,  30,  19
2021-07-21 13:46:01.269720, 1, 157,  97,  22,   4
2021-07-21 13:46:01.288036, 1, 157,  97,  22,   4
2021-07-21 13:46:01.307110, 1, 157,  97,  22,   4
2021-07-21 13:46:01.838096, 1, 145,  90,  22,  11
2021-07-21 13:46:01.857142, 1, 149,  92,  30,  12
2021-07-21 13:46:01.873877, 1, 143,  83,  14,  15
2021-07-21 13:46:01.897005, 1, 143,  83,  14,  15
2021-07-21 13:46:01.916382, 1, 140,  88,   8,   8
2021-07-21 13:46:01.921412, 1, 150, 102,  28,   2
2021-07-21 13:46:01.937591, 1, 150, 102,  28,   2
2021-07-21 13:46:01.957120, 1, 150, 102,  28,   2
2021-07-21 13:46:02.520208, 1, 161,  89,  22,   6
2021-07-21 13:46:02.538476, 1, 161,  89,  22,   6
2021-07-21 13:46:02.554762, 1, 161,  89,  22,   6
2021-07-21 13:46:03.153575, 1, 159,  96,  30,  17
2021-07-21 13:46:03.173428, 1, 168,  99,  28,   6
2021-07-21 13:46:03.186134, 1, 168,  99,  28,   6
2021-07-21 13:46:03.207168, 1, 168,  99,  28,   6
2021-07-21 13:46:06.028057, 1, 163, 103,  30,   9
2021-07-21 13:46:06.047031, 1, 163, 103,  30,  12
2021-07-21 13:46:06.062535, 1, 164, 103,  28,  10
2021-07-21 13:46:06.087124, 1, 164, 103,  28,  10
2021-07-21 13:46:06.099330, 1, 164, 103,  28,  10
2021-07-21 13:46:06.111327, 1, 164, 103,  28,  10
2021-07-21 13:46:06.336636, 1, 173,  99,  30,  22
2021-07-21 13:46:06.356020, 1, 173,  98,  30,  21
2021-07-21 13:46:06.371123, 1, 174,  98,  28,  22
2021-07-21 13:46:06.396970, 1, 175, 100,  26,  20
2021-07-21 13:46:06.414559, 1, 175, 102,  26,  13
2021-07-21 13:46:06.419890, 1, 175, 101,  22,   5
2021-07-21 13:46:06.436889, 1, 175, 101,  22,   5
2021-07-21 13:46:06.456930, 1, 175, 101,  22,   5
2021-07-21 13:46:06.612735, 1, 178,  94,  28,  22
2021-07-21 13:46:06.633114, 1, 178,  93,  28,  23
2021-07-21 13:46:06.647171, 1, 178,  94,  28,  22
2021-07-21 13:46:06.661312, 1, 178,  94,  28,  19
2021-07-21 13:46:06.677833, 1, 177,  96,  26,  18
2021-07-21 13:46:06.706390, 1, 178,  97,  24,  16
2021-07-21 13:46:06.710012, 1, 179,  99,  22,  11
2021-07-21 13:46:06.737141, 1, 179,  99,  22,  11
2021-07-21 13:46:06.747047, 1, 179,  99,  22,  11
2021-07-21 13:46:06.921269, 1, 174,  95,  28,  18
2021-07-21 13:46:06.941583, 1, 173,  96,  26,  19
2021-07-21 13:46:06.953659, 1, 172,  98,  28,  23
2021-07-21 13:46:06.988291, 1, 172, 100,  28,  21
2021-07-21 13:46:07.009373, 1, 172, 101,  28,  19
2021-07-21 13:46:07.018669, 1, 172, 102,  28,  19
2021-07-21 13:46:07.036873, 1, 170, 108,  24,   7
2021-07-21 13:46:07.055617, 1, 169, 111,  18,   3
2021-07-21 13:46:07.076590, 1, 169, 111,  18,   3
2021-07-21 13:46:07.086887, 1, 169, 111,  18,   3
2021-07-21 13:46:07.310972, 1, 164, 106,  36,  17
2021-07-21 13:46:07.330585, 1, 160, 106,  28,  12
2021-07-21 13:46:07.346332, 1, 164, 112,  40,  21
2021-07-21 13:46:07.377496, 1, 168, 113,  28,  12
